
||== id ==||== name ==||= value =||
||   0    ||    a     ||    0    ||
||   10   ||    a'    ||    1    ||
||   1    ||    b     ||    1    ||
||   11   ||    b'    ||    0    ||
||   5    ||    c     ||    1    ||
||   2    ||    c'    ||    0    ||
||   9    ||    d     ||    0    ||
||   4    ||    e     ||    1    ||
||   12   ||    f     ||    0    ||
||   13   ||    g     ||    0    ||
||   14   ||    h     ||    0    ||
||   3    ||    w     ||    0    ||
||   6    ||    x     ||    1    ||
||   7    ||    y     ||    0    ||
||   8    ||    z     ||    0    ||
